id_borough,borough_name,year,week,day,hour,engine_sounds,alarm_sounds
1,manhattan,2019,43,4,8,4,5
1,manhattan,2019,43,4,8,1,5
1,manhattan,2019,43,4,8,1,5
1,manhattan,2019,43,4,8,4,5
1,manhattan,2019,43,4,8,2,0
1,manhattan,2019,43,4,8,2,0
1,manhattan,2019,43,4,8,1,0
1,manhattan,2019,43,4,8,1,0
1,manhattan,2019,20,1,20,4,5
1,manhattan,2019,20,1,20,1,5
1,manhattan,2019,20,1,20,1,5
1,manhattan,2019,20,1,20,4,5
1,manhattan,2019,20,1,20,2,0
1,manhattan,2019,20,1,20,1,0
1,manhattan,2019,20,1,20,0,0
1,manhattan,2019,20,1,20,1,0
1,manhattan,2019,35,6,11,2,5
1,manhattan,2019,35,6,11,1,5
1,manhattan,2019,35,6,11,2,0
1,manhattan,2019,35,6,11,1,0
1,manhattan,2019,35,6,11,1,0
1,manhattan,2019,35,6,11,1,0
1,manhattan,2019,31,1,9,4,0
1,manhattan,2019,31,1,9,4,5
1,manhattan,2019,31,1,9,1,5
1,manhattan,2019,31,1,9,0,5
1,manhattan,2019,31,1,9,4,1
1,manhattan,2019,31,1,9,4,5
1,manhattan,2019,31,1,9,0,1
1,manhattan,2019,31,1,9,0,0
1,manhattan,2019,31,1,9,1,0
1,manhattan,2019,31,1,9,2,1
1,manhattan,2019,40,0,13,4,2
1,manhattan,2019,40,0,13,4,5
1,manhattan,2019,40,0,13,4,5
1,manhattan,2019,40,0,13,4,2
1,manhattan,2019,40,0,13,0,2
1,manhattan,2019,40,0,13,0,1
1,manhattan,2019,40,0,13,0,1
1,manhattan,2019,40,0,13,0,2
1,manhattan,2019,22,5,15,4,0
1,manhattan,2019,22,5,15,4,5
1,manhattan,2019,22,5,15,1,5
1,manhattan,2019,22,5,15,1,5
1,manhattan,2019,22,5,15,4,5
1,manhattan,2019,22,5,15,4,0
1,manhattan,2019,22,5,15,1,0
1,manhattan,2019,22,5,15,0,0
1,manhattan,2019,22,5,15,1,0
1,manhattan,2019,22,5,15,0,1
1,manhattan,2019,46,6,18,4,1
1,manhattan,2019,46,6,18,4,5
1,manhattan,2019,46,6,18,1,5
1,manhattan,2019,46,6,18,1,5
1,manhattan,2019,46,6,18,4,5
1,manhattan,2019,46,6,18,4,1
1,manhattan,2019,46,6,18,1,1
1,manhattan,2019,46,6,18,0,1
1,manhattan,2019,46,6,18,1,0
1,manhattan,2019,46,6,18,1,1
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,1,5
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,0,5
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,4,5
1,manhattan,2019,51,0,12,0,0
1,manhattan,2019,51,0,12,0,0
1,manhattan,2019,51,0,12,0,0
1,manhattan,2019,51,0,12,1,0
1,manhattan,2019,28,0,19,4,0
1,manhattan,2019,28,0,19,4,5
1,manhattan,2019,28,0,19,2,5
1,manhattan,2019,28,0,19,1,5
1,manhattan,2019,28,0,19,4,5
1,manhattan,2019,28,0,19,4,0
1,manhattan,2019,28,0,19,1,0
1,manhattan,2019,28,0,19,1,1
1,manhattan,2019,28,0,19,1,0
1,manhattan,2019,28,0,19,1,0
1,manhattan,2019,44,5,20,4,1
